round,avg_acc,time_s,sst2_acc,mrpc_acc,cola_acc
1,0.7398,607.9,0.8413666666666667,0.6838000000000001,0.6942666666666666
2,0.7673,609.4,0.8555333333333334,0.7026333333333333,0.7436333333333334
3,0.774,609.4,0.8624,0.7083333333333334,0.7513666666666667
4,0.7811,609.2,0.8635333333333334,0.7213666666666666,0.7584333333333334
5,0.7894,609.3,0.8669666666666668,0.7385666666666667,0.7626
6,0.7932,610.9,0.8734666666666667,0.7410333333333333,0.7651333333333333
7,0.7923,609.1,0.8731,0.7377333333333334,0.7661333333333333
8,0.7966,609.6,0.8692666666666667,0.7483333333333334,0.7721999999999999
9,0.8017,609.2,0.8776666666666667,0.7597999999999999,0.7677
10,0.8039,608.8,0.8784333333333333,0.7639,0.7693333333333333
11,0.8036,613.1,0.8738333333333334,0.7671666666666667,0.7696666666666667
12,0.8044,609.2,0.8723000000000001,0.7696333333333333,0.7712666666666667
13,0.8054,609.4,0.8723333333333333,0.7720666666666668,0.7718666666666666
14,0.8065,609.1,0.8723333333333333,0.7769666666666666,0.7702666666666667
15,0.8062,609.0,0.8685333333333333,0.7810333333333334,0.769
